#OTU ID	JL300_B05	JL300_B21	JL300_W2L	JL301_B08	JL302_B05_2	JL303_B16	JL303_B27	JL304_2_6	JL305_B10	JL305_B13	JL305_W2L	JL306_B04	JL306_W2L	JL307_0_5	JL307_5_7	JL307_B07	JL307_B11	JL307_W2L	JL308_G8_0_2	JL308_G9_0_6	JL309_PC11_1	JL309_PC12_1	JL310_G2_0_2	JL310_G4_2_4	JL310_W1.5L	JL311_B01_2	JL311_W2L	JL312_B19_3	JL313_B05	JL314_W2L	JL316_B01_7	JL317_B03	JL317_W2L
Zotu1	1	16	28	0	23	75486	150	2192	23	7	23	0	949	2523	1092	0	10196	25	1840	1149	1376	664	2251	2047	116	3	1	1	0	0	0	43226	2
Zotu10	0	0	0	0	0	0	0	0	4	9035	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Zotu100	0	0	0	0	0	0	0	2	0	0	0	0	0	18	25	0	0	0	2	1	14	26	20	15	0	0	0	0	0	0	0	0	0
Zotu1000	0	0	5	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10001	0	0	1	0	0	0	0	0	0	0	14	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3
Zotu10002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10003	0	0	4	0	0	0	0	0	0	0	8	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
Zotu10004	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10007	0	0	0	0	0	0	0	6	0	0	0	0	1	18	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1001	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
