Sample_ID	Host_Taxonomy_NCBI	Source
A1_01	na	Sponge
A1_02	na	Sponge
A1_03	na	Sponge
A1_04	na	Sponge
A1_04_1	na	Sponge
A1_04_2	na	Sponge
A1_04_3	na	Sponge
A1_05	na	Sponge
A1_06	na	Sponge
A1_07	na	Sponge
A1_08	na	Sponge
A1_10	na	Sponge
A1_11	na	Sponge
A1_12_red	na	Sponge
A1_12_white	na	Sponge
A1_13	na	Sponge
DG_Rep1	na	Sponge
DG_Rep2	na	Sponge
DG_Rep3	na	Sponge
HM_05_02A	no_hit	Sponge
HM_SY716_3A	na	na
HM_SY716_H1	na	Sponge
HM_SY716_S1	na	Sponge
HM_SY716_spg3A	na	Sponge
JL300_B01_1	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Antipathidae;g__Leiopathes;s__	Coral
JL300_B01_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Antipathidae;g__Leiopathes;s__	Coral
JL300_B01_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Antipathidae;g__Leiopathes;s__	Coral
JL300_B03_1	d__Eukaryota;k__Metazoa;p__Echinodermata;c__Crinoidea;sc__Articulata;o__Isocrinida;f__;g__;s__	Crinoid
JL300_B03_2	d__Eukaryota;k__Metazoa;p__Echinodermata;c__Crinoidea;sc__Articulata;o__Isocrinida;f__;g__;s__	Crinoid
JL300_B04_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__Victorgorgiidae;g__Victorgorgia;s__	Coral
JL300_B05	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora;s__	Coral
JL300_B06_1	na	Seastar
JL300_B13	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia;s__	Coral
JL300_B15	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Keratoisididae;g__;s__	Coral
JL300_B18	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Coralliidae;g__Paragorgia;s__	Coral
