0_Sample_Index	Sample_ID	Best_Tissue_ID	Fauna_ID	Shan_Fauna_Sample_Labeled_ID_20250218	Barcoding_Gene	Barcoding_Identity	Host_Taxonomy_NCBI	Coral_Microbiome	Sponge_Microbiome_Project_Shan	Sponge_Microbiome_Project	Hydrozoa_microbiome_project_Shan	Shan_comments_20250426	Mitochondrial_Contig_Blast	Mitochondrial_Contig_Blast_Identity	Sample_Short_Name	Segregation	Source	Source2	Scientific_Name_by_Morphology	Temporary_Name_by_Morphology	Mophospecies	Collect_Site	Collect_Depth	Longitude	Latitude	Collect_Date	Collect_Time	In_Situ	Note	Note2	Dissolved_O2_concentration
na	A1_01	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_02	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_03	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_04	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_04_1	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_04_2	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_04_3	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_05	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_06	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
na	A1_07	na	na	na	na	na	na	no	no	no	no	HK sponge project	na	na	sponge	Host	Sponge	Sponge	na	na	na	Yung Shue O Fish Farm (Hong Kong Aquaculture at Three Fathoms Cove)	na	22.4224	114.2794	16/1/2025	na	no	HK local shallow-water sponge	"No samger nor metaG, DNA extracted by NovoGene"	na
