	JL300_B04_2	JL300_B05	JL300_B21	JL300_W2L	JL301_B08	JL302_B05_2	JL303_B16	JL303_B26_2	JL303_B27	JL303_B29_2	JL304_2_6	JL304_B04	JL304_B13_e	JL304_B36	JL305_B08_3	JL305_B10	JL305_B13	JL305_W2L	JL306_B04	JL306_W2L	JL307_0_5	JL307_5_7	JL307_B07	JL307_B09_3	JL307_B11	JL307_B20_2	JL307_W2L	JL308_G5_0_2	JL308_G5_2_6	JL308_G7_2_6	JL308_G8_0_2	JL308_G8_0_2B	JL308_G8_2_6	JL308_G9_0_6	JL309_PC11_1	JL309_PC11_2	JL309_PC12_1	JL309_PC12_2	JL309_PC9_1	JL309_PC9_2	JL310_G2_0_2	JL310_G2_2_6	JL310_G3_0_2	JL310_G3_2_4	JL310_G4_0_2	JL310_G4_2_4	JL310_G5_0_2	JL310_G5_2_6	JL310_G6_0_2	JL310_G6_2_4	JL310_G6_4_6	JL310_G7_0_2	JL310_G7_2_4	JL310_W1.5L	JL311_B01_2	JL311_W2L	JL312_B19_3	JL313_B01_2	JL313_B05	JL314_W2L	JL316_B01_7	JL316_B11_2	JL316_B20_3	JL317_B01	JL317_B03	JL317_B09	JL317_W2L	JLOY1_2_10	PC02_2_6
Zotu1	0.0037	0.0012	0.0398	0.0329	0.0	0.0604	96.4234	0.0158	0.4337	54.6518	2.3485	72.5305	3.4075	0.0117	81.2064	0.0351	0.0144	0.0254	0.0	0.9045	2.9408	1.2017	0.0	0.0102	23.5236	0.0	0.0238	2.443	4.3	0.551	3.741	3.6862	4.4208	2.5382	5.0507	3.7282	2.5301	3.1407	5.1285	3.28	2.8457	2.8691	2.5064	2.5037	3.2091	2.1478	2.3738	3.5394	3.1169	2.8136	1.6597	2.775	3.5335	0.1225	0.0033	0.0018	0.0017	0.0245	0.0	0.0	0.0	0.0793	1.7914	28.6459	47.8863	0.0	0.0021	3.7432	1.8743
Zotu11	0.0018	0.0585	2.9264	0.0	44.5134	0.0079	0.0	0.0	0.931	0.0	0.0	18.8396	0.0	94.1571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041	0.0499	0.0069	0.0267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0102	0.0245	95.3989	0.0	1.8013	0.4903	0.7992	0.0	0.0	56.6477	0.0	0.0	0.0
Zotu112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0	35.1118	0.0	0.0107	0.0	0.0	0.0
Zotu113	0.0	0.0	0.0	0.0	0.0	0.0	3.1295	0.0	0.0	44.2202	0.0	2.4077	0.0	0.0	0.0	4.6597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
Zotu12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0107	0.0132	0.0044	0.0	0.0047	18.5231	0.0	0.0	0.0067	0.0055	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0009	0.0031	0.0	0.0	0.0	0.0	0.0076	0.0	0.0	0.0	0.0013	0.0	0.0046	0.0021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0036	0.0	0.0044	0.0	0.0	0.0	0.0
Zotu120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032	0.0058	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.5565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zotu125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0509	58.7159	0.0037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zotu132	0.0	16.1096	37.3545	0.0	0.0	0.0	0.0	0.0079	0.0202	0.0	0.0	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0055	0.0113	0.0	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.022	0.0012	0.0083	0.0	0.0	0.0	0.0	0.0	0.0
Zotu137	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.0035	0.0	0.0	0.001	0.007	0.0	0.0	0.0	0.0	0.0052	0.0018	0.0	0.0041	0.001	0.0048	0.0	0.0	0.0	0.0075	0.0	0.0026	0.0	0.0	0.0021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9536	0.0	0.0213	0.0	0.0	0.0
Zotu145	0.0	0.0	0.0	0.0	0.0	0.0131	0.0	0.0	0.0	0.0	0.0	0.0	0.0203	0.0	18.183	0.0012	0.0082	0.001	0.0	0.001	0.0	0.0	0.0	0.0	6.5632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6654	9.0196	0.0	0.0	0.0	0.0
