	c__Anthozoa;o__Malacalcyonacea;f__Victorgorgiidae;g__Victorgorgia__JL300_B04_2	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora__JL300_B05	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora__JL300_B21	water__JL300_W2L	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL301_B08	c__Anthozoa;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea__JL302_B05_2	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL303_B16	c__Anthozoa;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea__JL303_B26_2	c__Anthozoa;o__Scleralcyonacea;f__Coralliidae;g__Hemicorallium__JL303_B27	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL303_B29_2	sediment__JL304_2_6	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL304_B04	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL304_B13_e	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL304_B36	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Parantipathes__JL305_B08_3	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL305_B10	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL305_B13	water__JL305_W2L	c__Anthozoa;o__Scleralcyonacea;f__Coralliidae;g__Anthomastus__JL306_B04	water__JL306_W2L	sediment__JL307_0_5	sediment__JL307_5_7	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL307_B07	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g____JL307_B09_3	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Parantipathes__JL307_B11	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL307_B20_2	water__JL307_W2L	sediment__JL308_G5_0_2	sediment__JL308_G5_2_6	sediment__JL308_G7_2_6	sediment__JL308_G8_0_2	sediment__JL308_G8_0_2B	sediment__JL308_G8_2_6	sediment__JL308_G9_0_6	sediment__JL309_PC11_1	sediment__JL309_PC11_2	sediment__JL309_PC12_1	sediment__JL309_PC12_2	sediment__JL309_PC9_1	sediment__JL309_PC9_2	sediment__JL310_G2_0_2	sediment__JL310_G2_2_6	sediment__JL310_G3_0_2	sediment__JL310_G3_2_4	sediment__JL310_G4_0_2	sediment__JL310_G4_2_4	sediment__JL310_G5_0_2	sediment__JL310_G5_2_6	sediment__JL310_G6_0_2	sediment__JL310_G6_2_4	sediment__JL310_G6_4_6	sediment__JL310_G7_0_2	sediment__JL310_G7_2_4	water__JL310_W1.5L	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL311_B01_2	water__JL311_W2L	c__Anthozoa;o__Malacalcyonacea;f__Paramuriceidae;g__Acanthogorgia__JL312_B19_3	c__Anthozoa;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia__JL313_B01_2	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Candidella__JL313_B05	water__JL314_W2L	c__Anthozoa;o__Scleralcyonacea;f__Keratoisididae;g__Keratoisis__JL316_B01_7	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g____JL316_B11_2	c__Anthozoa;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia__JL316_B20_3	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g____JL317_B01	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL317_B03	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL317_B09	water__JL317_W2L	sediment__JLOY1_2_10	sediment__PC02_2_6
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus__Zotu1	0.0037	0.0012	0.0398	0.0329	NA	0.0604	96.4234	0.0158	0.4337	54.6518	2.3485	72.5305	3.4075	0.0117	81.2064	0.0351	0.0144	0.0254	NA	0.9045	2.9408	1.2017	NA	0.0102	23.5236	NA	0.0238	2.443	4.3	0.551	3.741	3.6862	4.4208	2.5382	5.0507	3.7282	2.5301	3.1407	5.1285	3.28	2.8457	2.8691	2.5064	2.5037	3.2091	2.1478	2.3738	3.5394	3.1169	2.8136	1.6597	2.775	3.5335	0.1225	0.0033	0.0018	0.0017	0.0245	NA	NA	NA	0.0793	1.7914	28.6459	47.8863	NA	0.0021	3.7432	1.8743
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__DT-91;g__CAKMZU01__Zotu11	0.0018	0.0585	2.9264	NA	44.5134	0.0079	NA	NA	0.931	NA	NA	18.8396	NA	94.1571	NA	NA	NA	NA	NA	NA	NA	NA	0.0041	0.0499	0.0069	0.0267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0102	0.0245	95.3989	NA	1.8013	0.4903	0.7992	NA	NA	56.6477	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter__Zotu112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0019	NA	NA	NA	NA	NA	35.1118	NA	0.0107	NA	NA	NA
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__MT37;g__Spiroplasma_C__Zotu113	NA	NA	NA	NA	NA	NA	3.1295	NA	NA	44.2202	NA	2.4077	NA	NA	NA	4.6597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0045	NA	NA	NA	NA	NA	NA	NA	NA	0.002	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__WLWT01__Zotu12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0107	0.0132	0.0044	NA	0.0047	18.5231	NA	NA	0.0067	0.0055	NA	NA	NA	NA	NA	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.001	NA	NA	0.0009	0.0031	NA	NA	NA	NA	0.0076	NA	NA	NA	0.0013	NA	0.0046	0.0021	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0047	0.0036	NA	0.0044	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E__Zotu120	NA	NA	NA	NA	NA	NA	NA	0.0032	0.0058	NA	0.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.5565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria__Zotu125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0509	58.7159	0.0037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas__Zotu132	NA	16.1096	37.3545	NA	NA	NA	NA	0.0079	0.0202	NA	NA	NA	0.0051	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0055	0.0113	NA	0.0073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0019	NA	NA	0.022	0.0012	0.0083	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter__Zotu137	NA	NA	0.0149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0011	0.0035	NA	NA	0.001	0.007	NA	NA	NA	NA	0.0052	0.0018	NA	0.0041	0.001	0.0048	NA	NA	NA	0.0075	NA	0.0026	NA	NA	0.0021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.9536	NA	0.0213	NA	NA	NA
d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JABABT01__Zotu145	NA	NA	NA	NA	NA	0.0131	NA	NA	NA	NA	NA	NA	0.0203	NA	18.183	0.0012	0.0082	0.001	NA	0.001	NA	NA	NA	NA	6.5632	NA	NA	NA	NA	NA	NA	NA	0.0058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6654	9.0196	NA	NA	NA	NA
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Metamycoplasmataceae;g__JAIFTM01__Zotu152	50.1338	0.0084	0.0124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus__Zotu194	0.0018	NA	0.0124	NA	0.0887	1.9988	NA	0.0095	0.4857	NA	0.0031	NA	0.002	0.0015	NA	NA	NA	NA	0.7074	0.001	NA	NA	NA	NA	NA	1.5017	0.0105	NA	NA	NA	NA	NA	NA	NA	0.0238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0046	NA	NA	0.0063	NA	NA	0.156	NA	NA	NA	0.0047	11.5948	NA	NA	0.0111	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas__Zotu2	NA	0.0048	0.0025	0.1548	0.5531	0.063	0.0345	0.0063	0.0087	0.0049	0.8729	0.0642	0.2196	NA	0.0176	0.0035	0.0328	8.1525	NA	21.9876	0.4106	0.0975	0.6917	59.2391	1.2711	0.3232	34.7542	0.0032	NA	NA	NA	NA	0.0035	NA	NA	0.003	NA	NA	0.293	0.1239	0.0052	0.0231	0.006	0.0026	0.0044	0.0015	0.0129	0.002	0.0013	0.002	0.1171	0.0094	NA	91.1866	0.0089	73.9452	1.0053	31.2485	0.0019	16.3307	0.5025	3.1394	20.9724	0.001	0.0255	0.2967	44.5194	0.0075	0.0762
__Zotu212	31.6215	0.0024	NA	0.0022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas__Zotu23	NA	NA	NA	0.0604	NA	0.0131	0.0026	NA	NA	NA	3.3163	NA	NA	NA	0.0027	0.0035	0.0185	38.6254	NA	12.9559	0.3531	0.0515	0.0232	0.0907	NA	0.1191	12.5509	NA	NA	NA	NA	NA	0.0012	NA	0.004	NA	0.0019	0.0031	0.2911	0.1873	0.0031	0.0572	0.0096	0.0026	0.0022	0.0029	0.0504	0.0287	0.0013	0.002	0.0139	0.0333	0.0049	0.0733	NA	3.6485	0.017	0.0452	NA	0.3376	NA	NA	0.0869	NA	NA	NA	1.6627	0.0066	0.0797
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__UBA2767__Zotu242	NA	NA	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4691	NA	NA	0.0023	15.8989	NA	NA	0.001	NA	NA	0.0614	0.0045	NA	NA	0.001	NA	NA	NA	0.0063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__;c__;o__;f__;g____Zotu245	0.0165	10.3882	8.4684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0011	NA	0.0146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0047	NA	NA	NA	NA	NA	NA	NA	NA
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus__Zotu27	NA	NA	NA	0.0033	NA	0.0053	NA	NA	0.0376	NA	0.0302	0.0031	NA	NA	NA	0.0421	NA	0.002	NA	0.0038	0.0553	0.0182	NA	NA	NA	NA	NA	0.0076	0.0493	NA	0.022	0.0279	0.1415	0.0209	NA	0.002	0.0075	0.0063	0.0027	0.0041	0.0093	0.001	0.0181	0.0103	0.024	0.0029	0.0064	0.002	0.0144	0.0072	NA	0.0062	NA	NA	90.6942	NA	NA	NA	NA	NA	NA	0.0864	0.1239	NA	0.0022	NA	NA	0.0019	0.0671
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__CAKMYR01__Zotu276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11	0.1972	NA	0.0014	NA	NA	NA	NA	NA	NA	NA	0.0259	NA	21.2397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0012	NA	0.0643	NA	NA	NA	NA
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus__Zotu28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.4052	NA	NA	NA	NA	0.0011	0.0032	NA	0.0692	NA	NA	NA	NA	NA	NA	NA	0.0021	0.0023	NA	0.001	0.001	NA	0.0031	NA	0.0031	0.0072	NA	0.006	0.0039	0.0098	NA	NA	NA	0.0013	0.001	NA	0.0021	NA	NA	0.0356	NA	NA	NA	NA	NA	NA	NA	0.0476	NA	NA	NA	NA	0.0066	0.0046
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas__Zotu285	0.2512	0.6831	0.9995	NA	NA	NA	NA	0.0047	0.0549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5357	0.0036	0.0703	NA	NA	NA	NA	NA	NA
