	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL304_B13_e	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL305_B13	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL307_B07	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL303_B16	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL303_B29_2	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL304_B04	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL305_B10	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL311_B01_2	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL317_B03	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Parantipathes__JL305_B08_3	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Parantipathes__JL307_B11	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g____JL317_B01	c__Anthozoa;o__Malacalcyonacea;f__Paramuriceidae;g__Acanthogorgia__JL312_B19_3	c__Anthozoa;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea__JL302_B05_2	c__Anthozoa;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea__JL303_B26_2	c__Anthozoa;o__Malacalcyonacea;f__Victorgorgiidae;g__Victorgorgia__JL300_B04_2	c__Anthozoa;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia__JL313_B01_2	c__Anthozoa;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia__JL316_B20_3	c__Anthozoa;o__Scleralcyonacea;f__Coralliidae;g__Anthomastus__JL306_B04	c__Anthozoa;o__Scleralcyonacea;f__Coralliidae;g__Hemicorallium__JL303_B27	c__Anthozoa;o__Scleralcyonacea;f__Keratoisididae;g__Keratoisis__JL316_B01_7	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora__JL300_B05	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora__JL300_B21	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Candidella__JL313_B05	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL301_B08	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL304_B36	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL307_B20_2	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL317_B09	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g____JL307_B09_3	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g____JL316_B11_2	sediment__JL304_2_6	sediment__JL307_0_5	sediment__JL307_5_7	sediment__JL308_G5_0_2	sediment__JL308_G5_2_6	sediment__JL308_G7_2_6	sediment__JL308_G8_0_2	sediment__JL308_G8_0_2B	sediment__JL308_G8_2_6	sediment__JL308_G9_0_6	sediment__JL309_PC11_1	sediment__JL309_PC11_2	sediment__JL309_PC12_1	sediment__JL309_PC12_2	sediment__JL309_PC9_1	sediment__JL309_PC9_2	sediment__JL310_G2_0_2	sediment__JL310_G2_2_6	sediment__JL310_G3_0_2	sediment__JL310_G3_2_4	sediment__JL310_G4_0_2	sediment__JL310_G4_2_4	sediment__JL310_G5_0_2	sediment__JL310_G5_2_6	sediment__JL310_G6_0_2	sediment__JL310_G6_2_4	sediment__JL310_G6_4_6	sediment__JL310_G7_0_2	sediment__JL310_G7_2_4	sediment__JLOY1_2_10	sediment__PC02_2_6	water__JL300_W2L	water__JL305_W2L	water__JL306_W2L	water__JL307_W2L	water__JL310_W1.5L	water__JL311_W2L	water__JL314_W2L	water__JL317_W2L
d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14	0.0203	0.0082	NA	NA	NA	NA	0.0012	NA	9.0196	18.183	6.5632	0.6654	NA	0.0131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	0.001	NA	NA	NA	NA	NA
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales	3.4075	0.0144	NA	96.4234	54.6518	72.5336	92.4824	90.7331	47.8885	81.2064	23.5236	28.6459	0.0017	0.06570000000000001	0.0158	0.0037	0.0245	1.9629	NA	0.4713	NA	0.0012	0.0398	NA	NA	0.0117	NA	NA	0.0794	0.16570000000000001	2.3787	2.9972	1.2231	2.4506	4.3492999999999995	0.551	3.763	3.7161999999999997	4.5645999999999995	2.5591	5.0517	3.7312000000000003	2.5376	3.1500999999999997	5.1312	3.2872	2.8622	2.8701	2.5305	2.5179	3.2428999999999997	2.1507	2.3802000000000003	3.5414	3.1325999999999996	2.8218	1.6597	2.7833	3.5335	3.7517	1.9460000000000002	0.036199999999999996	0.0274	0.9083	0.0238	0.1225	0.0018	NA	0.0021
d__Bacteria;p__;c__;o__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0165	NA	NA	NA	NA	0.0047	10.3882	8.4684	NA	NA	NA	0.0146	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales	0.002	NA	NA	NA	NA	NA	NA	NA	0.0111	NA	NA	NA	0.156	1.9988	0.0095	0.0018	NA	NA	0.7074	0.4857	0.0047	NA	0.0124	NA	0.0887	0.0015	1.5017	NA	NA	11.5948	0.0031	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0046	NA	NA	NA	NA	NA	NA	0.001	0.0105	0.0063	NA	NA	NA
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales	NA	NA	NA	3.1295	44.2202	2.4077	4.6597	0.0045	NA	NA	NA	0.002	NA	NA	NA	50.1338	NA	NA	NA	NA	NA	0.0084	0.0124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales	0.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	NA	NA	NA	0.0073	0.0019	0.0012	NA	NA	0.0079	59.5123	24.8508	NA	NA	NA	0.0073	NA	0.0397	NA	NA	NA	NA	NA	NA	NA	0.0031	0.0072	NA	NA	NA	NA	NA	0.0042	NA	NA	0.001	NA	NA	0.0013	0.0011	NA	NA	NA	NA	0.002	NA	NA	NA	0.0009	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060	0.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0092	NA	NA	NA	54.2148	NA	NA	0.0107	NA	0.0029	0.0063	NA	0.005	NA	NA	0.0088	0.0364	NA	NA	0.0059	NA	0.0398	0.0257	0.0054	0.0082	NA	0.0105	0.0031	0.0433	0.0012	NA	0.0041	0.015	0.0188	0.0018	0.0225	0.0227	0.011	0.0145	0.0013	0.012	0.0007	0.0032	NA	0.0039	NA	NA	0.0031	NA	0.0009	0.0114	NA	NA	NA	NA	0.001	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales	5.4782	48.879599999999996	52.1605	NA	NA	NA	0.0105	NA	NA	NA	NA	62.065400000000004	NA	NA	NA	NA	0.0038	NA	NA	NA	NA	NA	0.0199	NA	NA	0.0029	NA	0.032	0.022600000000000002	NA	NA	NA	NA	0.0011	0.0035	NA	0.0126	0.001	0.007	NA	NA	NA	NA	0.0052	0.0018	NA	0.0041	0.001	0.0048	NA	NA	NA	0.0075	NA	0.0026	NA	NA	0.0021	NA	NA	NA	NA	NA	0.0115	0.001	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0509	NA	NA	NA	58.7159	NA	NA	NA	NA	NA	NA	0.0037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA11136	85.5566	NA	0.3111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	NA	NA	NA	NA	NA
