	OTU_f
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus__Zotu1	f__Nitrosopumilaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__DT-91;g__CAKMZU01__Zotu11	f__DT-91
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter__Zotu112	f__Methyloligellaceae
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__MT37;g__Spiroplasma_C__Zotu113	f__MT37
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__WLWT01__Zotu12	f__Poriferihabitantaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E__Zotu120	f__Pseudomonadaceae
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria__Zotu125	f__Rhodobacteraceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas__Zotu132	f__Endozoicomonadaceae
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter__Zotu137	f__Methyloligellaceae
d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JABABT01__Zotu145	f__SCSR01
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Metamycoplasmataceae;g__JAIFTM01__Zotu152	f__Metamycoplasmataceae
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus__Zotu194	f__Lactobacillaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas__Zotu2	f__Alteromonadaceae
__Zotu212	na
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas__Zotu23	f__Alteromonadaceae
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__UBA2767__Zotu242	f__Methyloligellaceae
d__Bacteria;p__;c__;o__;f__;g____Zotu245	f__
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus__Zotu27	f__Nitrosopumilaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__CAKMYR01__Zotu276	f__Thioglobaceae
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus__Zotu28	f__Nitrosopumilaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas__Zotu285	f__Endozoicomonadaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas__Zotu466	f__Endozoicomonadaceae
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA11136;f__UBA11136;g__UBA11136__Zotu57	f__UBA11136
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Moritellaceae;g__Moritella__Zotu58	f__Moritellaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter__Zotu59	f__Moraxellaceae
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003106;g__JAFDAE01__Zotu64	f__C00003106
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas__Zotu71	f__Endozoicomonadaceae
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__JABDGQ01__Zotu74	f__Parachlamydiaceae
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__UBA2767__Zotu84	f__Methyloligellaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cellulosimicrobium__Zotu9	f__Alteromonadaceae
__Zotu90	na
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Halopseudomonas__Zotu96	f__Pseudomonadaceae
__Zotu97	na
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA7359__Zotu98	f__UBA4486
